Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Blue & Co., LLC",Jennifer Miloszewski,Jennifer,Miloszewski,250 W. Main St. Suite 2900,,KY,40507,,(859) 253-1100,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/Blue-Co,-LLC-38",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
Barbara Baldwin CPA,,,,2957 Four Pines Dr.,,KY,40502,,(859) 266-7374,,,,,Business,,,,https://web.commercelexington.com/allcategories,https://web.commercelexington.com/Accountants/Barbara-Baldwin-CPA-17461,,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
"Peer House, LLC",,,,700 Fernwood Ct,,KY,40514,,(859) 407-3131,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/Peer-House,-LLC-19221",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
"Besten & Dieruf, PLLC",,,,190 Market Street,,KY,40507,,(859) 254-4427,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/Besten-Dieruf,-PLLC--12548",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
Dean Dorton,David Bundy,David,Bundy,Lexington Financial Center,,KY,40507  1721,,(859) 255-2341,,,,,Business,,,,https://web.commercelexington.com/allcategories,https://web.commercelexington.com/Accountants/Dean-Dorton--112,,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
"Jennifer Tibbetts, PSC",,,,"501 Darby Creek Road, Suite 34",,KY,40509,,859-272-1183,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/Jennifer-Tibbetts,-PSC-22261",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
Harris Accounting Group,,,,4384 Clearwater Way Ste 180,,KY,40515,,(859) 233-0299,,,,,Business,,,,https://web.commercelexington.com/allcategories,https://web.commercelexington.com/Accountants/Harris-Accounting-Group-16422,,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
"RFH, PLLC CPA's & Consultants",,,,300 W Vine Street,,KY,40507  1812,,(859) 231-1800,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/RFH,-PLLC-CPA%27s-Consultants-3812",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
"W.R. Ramsey & Associates, Inc.",,,,3201 Summit Square Place,,KY,40509,,(859) 268-0765,,,,,Business,,,,https://web.commercelexington.com/allcategories,"https://web.commercelexington.com/Accountants/WR-Ramsey-Associates,-Inc-4376",,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
Hicks & Associates CPAs,,,,1795 Alysheba Way Ste 6206,,KY,40509,,(859) 368-9727,,,,,Business,,,,https://web.commercelexington.com/allcategories,https://web.commercelexington.com/Accountants/Hicks-Associates-CPAs-15226,,,,Accountants,,commercelexington,,,,,,,,,2022-12-17 10:55:57,
