Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Avondale Ltd Co,,,,201 Swanson Road,,GA,30214,,(404) 723-6453,,,http://avondalelc.com,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/avondale-ltd-co-10653,,,,Business Consulting,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
"Business Women of Fayette and Coweta, Inc.",,,,PO Box 692,,GA,30276,,(770) 843-4835,,,http://www.bwfcc.org,https://www.facebook.com/bwfcc,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/business-women-of-fayette-and-coweta-inc-11418,,,,Non-Profit Associations,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
My Health Reassurance,,,,376 Glynn Street N,,GA,30214,,(770) 648-2148,,,http://Www.myhealthreassurance.com,http://www.facebook.com/myhealthreassurance,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/my-health-reassurance-11399,,,,Health & Wellness,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
Longhorn Steakhouse,,,,1320 Hwy 85,,GA,30214,,(678) 610-3323,,,http://www.longhorn.steakhouse.com,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/longhorn-steakhouse-11488,,,,Restaurants,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
Kaiser Permanente of Fayetteville,,,,101 Banks Road,,GA,30214,,(404) 365-0966,,,https://healthy.kaiserpermanente.org/georgia/facilities/Kaiser-Permanente-Fayette-Medical-Office-300386,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/kaiser-permanente-of-fayetteville-10762,,,,,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
Kulima Montessori,,,,130 Carnegie Place,,GA,30214,,(678) 782-8770,,,http://Www.kulimamontessori.org,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/kulima-montessori-fayetteville-11548,,,,Educational  Services,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
"Hammond Services, Inc.",David Hammond,David,Hammond,644 E. McIntosh Road,,GA,30223,,(770) 227-5325,,,http://www.hammondservices.com,"https://www.linkedin.com/company-beta/205302/, https://www.facebook.com/HammondServices, https://twitter.com/HammondServices",Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/hammond-services-inc-1237,,,,Heating & Air Conditioning,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
"GleamPro, LLC",,,,"2107 Georgia 42, Suite A",,GA,30234,,(678) 774-8250,,,http://gleampro.com,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/gleampro-llc-11496,,,,Janitorial Services,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
Just Nails,,,,"270 North Glynn Street, Suite D",,GA,30214,,(678) 548-6626,,,,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/just-nails-11435,,,,Nail Salon,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
Joseph Sams School,,,,280 Brandywine Blvd,,GA,30214,,(770) 461-5894,,,http://www.josephsamsschool.org/,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/joseph-sams-school-1023,,,,Non-Profit Associations,,fayettechamber,,,,,,,,,2022-12-15 15:53:29,The easy way to find businesses and members in the Fayette Chamber of Commerce
"Luthan Enterprises, LLC",,,,470 Commerce Dr Suite 599,,GA,30269,,(678) 435-6000,,,https://shorttermgems.staydirectly.com/,https://www.linkedin.com/in/dr-rachel-g-4bb33721/,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/luthan-enterprises-llc-11319,,,,Real Estate Management,,fayettechamber,,,,,,,,,2022-12-15 15:53:30,The easy way to find businesses and members in the Fayette Chamber of Commerce
Dash Pre-employment & Wellness,,,,560 N. Jeff Davis Drive,,GA,30214,,(470) 699-2841,,,http://www.dashpreemployment.org,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/dash-pre-employment-wellness-11270,,,,,,fayettechamber,,,,,,,,,2022-12-15 15:53:30,The easy way to find businesses and members in the Fayette Chamber of Commerce
"DVMarshall & Associates, Inc.",,,,205 N. Jeff Davis Drive,,GA,30214,,(770) 703-1049,,,http://www.dvmarshallassociates.com,,Business,,,,https://business.fayettechamber.org/list,https://business.fayettechamber.org/list/member/dvmarshall-associates-inc-11103,,,,Accounting,,fayettechamber,,,,,,,,,2022-12-15 15:53:30,The easy way to find businesses and members in the Fayette Chamber of Commerce
