Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Legasea Marine,Jennifer Hall,Jennifer,Hall,821 Railway Rd,,VA,23692,,(757) 898-3000,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Boat-Clubs/Legasea-Marine-4706,,,,Hampton Roads Boat Clubs,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:14,
Freedom Boat Club,Ms. Sunny Nierstheimer,Sunny,Nierstheimer,1632 Hydenwood Crescent,,VA,23321,,(757) 927-0697,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Boat-Clubs/Freedom-Boat-Club-532,,,,Hampton Roads Boat Clubs,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:14,
PepsiCo,Wes McMichael,Wes,McMichael,1194 Pineridge Road,,VA,23502,,(757) 858-4224,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Beverage-Distributor/PepsiCo-4275,,,,Hampton Roads Beverage Distributor,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:15,
Chesbay Distributing LLC,Mr. Patrick Collins,Patrick,Collins,3928 Cook Blvd,,VA,23323  1626,,(757) 558-8170,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Beverage-Distributor/Chesbay-Distributing-LLC-94,,,,Hampton Roads Beverage Distributor,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:15,
South Norfolk Jordan Bridge,Mr. Kevin Crum,Kevin,Crum,"1001 Scenic Pkwy., Suite #203",,VA,23323,,(757) 545-3444,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Bridges-Tunnels/South-Norfolk-Jordan-Bridge-872,,,,Hampton Roads Bridges & Tunnels,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:16,
Chesapeake Bay Bridge & Tunnel District,Mr. Jeffrey B Holland,Jeffrey,Holland,32386 Lankford Hwy.,,VA,23310,,(757) 331-2960,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Bridges-Tunnels/Chesapeake-Bay-Bridge-Tunnel-District-29,,,,Hampton Roads Bridges & Tunnels,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:16,
"Elizabeth River Crossings OpCo, LLC",Carley Brierre,Carley,Brierre,152 Tunnel Facility Dr.,,VA,23707,,(757) 932-4400,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,"https://web.hamptonroadschamber.com/Bridges-Tunnels/Elizabeth-River-Crossings-OpCo,-LLC-723",,,,Hampton Roads Bridges & Tunnels,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:16,
Leesa Sleep,Ms. Colleen Carmichael,Colleen,Carmichael,3200 Pacific Ave.,,VA,23451,,(757) 287-4709,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Bedding/Leesa-Sleep-936,,,,Hampton Roads Bedding,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:18,
VAMF Inc. dba The Original Mattress Factory,Mr. Matt Brehl,Matt,Brehl,3750 Virginia Beach Blvd.,,VA,23452,,(757) 486-2400,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Bedding/VAMF-Inc-dba-The-Original-Mattress-Factory-487,,,,Hampton Roads Bedding,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:18,
Farmers Bank,Mr. Charles A Powers,Charles,Powers,6255 College Dr.,,VA,23435,,(757) 242-3012,,,,,Business,,,,https://web.hamptonroadschamber.com/allcategories,https://web.hamptonroadschamber.com/Banks/Farmers-Bank-527,,,,Hampton Roads Banks,,hamptonroadschamber,,,,,,,,,2022-12-15 12:29:18,
