Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Parkinson Foundation Heartland,,,,13451 Briar St. suite 202,,KS,66209,,(913) 350-0282,,,http://parkinson.org/heartland,"https://www.facebook.com/parkinsonsfoundationheartland/, https://twitter.com/PFheartland",Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/parkinson-foundation-heartland-8358,,,,Healthcare,,npconnect,,,,,,,,,2022-12-07 10:10:39,The easy way to find businesses and members in the Nonprofit Connect
Oakhill Day School,,,,7019 North Cherry Street,,MO,64055,,(816) 436-6228,,,http://www.oakhilldayschool.org,"https://www.linkedin.com/company/oakhill-day-school---gladstone-mo?trk=top_nav_home, https://www.facebook.com/oakhilldayschool/, https://twitter.com/oakhillday, https://plus.google.com/109790847400666343718/posts, https://www.pinterest.com/oakhillday/, https://www.youtube.com/user/ODSvids",Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/oakhill-day-school-gladstone-7019-north-cherry-street-112774,,,,Education,,npconnect,,,,,,,,,2022-12-07 10:10:39,The easy way to find businesses and members in the Nonprofit Connect
Optimalist Technology Foundation,Carl Frailey,Carl,Frailey,"7111 W. 151st St., Suite 123",,KS,66223,,(816) 225-2987,,,https://optimalisttech.org/,,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/optimalist-technology-foundation-116477,,,,Technology,,npconnect,,,,,,,,,2022-12-07 10:10:39,The easy way to find businesses and members in the Nonprofit Connect
Platte Land Trust,,,,PO Box 901892,,MO,64190-1892,,(816) 716-3402,,,https://plattelandtrust.org,http://facebook.com/pages/PlatteLandTrust,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/platte-land-trust-11177,,,,Environment/Animals,,npconnect,,,,,,,,,2022-12-07 10:10:39,The easy way to find businesses and members in the Nonprofit Connect
Head for the Cure Foundation,,,,1607 Oak St.,,MO,64108,,(816) 393-0112,,,http://www.headforthecure.org/,,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/head-for-the-cure-foundation-111468,,,,Healthcare,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
Healthed Connect,,,,1401 W Truman Rd,,MO,64050,,(816) 423-4731,,,http://www.healthedconnect.org,"http://facebook.com/HealthEdConnect, http://twitter.com/HealthEdConnect, http://www.instagram.com/healthedconnect/, http://healthedconnect.blogspot.com/",Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/healthed-connect-112260,,,,Healthcare,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
Brain Injury Association of Kansas & Greater Kansas City,,,,6701 W 64th St Ste 120,,KS,66202-4091,,(913) 754-8883,,,http://biaks.org/,http://facebook.com/pages/biaksgkc,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/brain-injury-association-of-kansas-greater-kansas-city-1593,,,,Healthcare,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
Zion Astro,,,,3709 Dawn court,,OH,43232,,(614) 699-0229,,,http://zionastro.com,,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/zion-astro-116364,,,,Sports & Recreation,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
Blue Springs Chamber of Commerce,,,,1000 W Main Street,,MO,64015,,(816) 229-8558,,,http://www.bluespringschamber.com,,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/blue-springs-chamber-of-commerce-115106,,,,Mutual/Membership Benefit,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
"Wyandot Center for Community Behavioral Healthcare, Inc.",,,,757 Armstrong,,KS,66101,,(913) 233-3305,,,http://www.wyandotcenter.org,,Business,,,,https://info.npconnect.org/list,https://info.npconnect.org/list/member/wyandot-center-for-community-behavioral-healthcare-inc-112898,,,,Healthcare,,npconnect,,,,,,,,,2022-12-07 10:10:40,The easy way to find businesses and members in the Nonprofit Connect
