Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Durrant/Slate Plumbing,,,,4171 West 5800 North,,UT,84050,,(801) 710-2900,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/durrant-slate-plumbing-912,,,,Plumbing Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:26,The easy way to find businesses and members in the Northern Wasatch HBA
Elite 3 Construction,,,,420 W. 2nd Street,,UT,84404,,(801) 717-8823,,,http://www.elite3construction.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/elite-3-construction-ogden-5889,,,,Steel Fabrication & Erection,,nwhba,,,,,,,,,2022-12-06 11:15:26,The easy way to find businesses and members in the Northern Wasatch HBA
AW & Company,,,,2187 Heritage Drive,,UT,84404,,(801) 643-3617,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/aw-company-5955,,,,Marketing Services,,nwhba,,,,,,,,,2022-12-06 11:15:26,The easy way to find businesses and members in the Northern Wasatch HBA
Copperweld Bimetallics,Scott Havell,Scott,Havell,535 N. Northstar Drive,,UT,84770,,(801) 836-8350,,,http://www.copperweld.com/buildingwire,https://www.linkedin.com/company/copperweld-bimetallics,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/copperweld-bimetallics-5899,,,,Electrical,,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
M-X Insulation LLC,,,,195 W 925 S,,UT,84312,,(435) 890-5466,,,http://M-xinsulationllc.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/m-x-insulation-llc-5905,,,,Insulation Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Metro Tile Associates,,,,189 West Gregson Ave,,UT,84115,,(801) 433-0168,,,http://metrotileutah.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/metro-tile-associates-5881,,,,Tile Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Floor & Decor,,,,1060 West Riverdale Rd.,,Ut,84405,,(385) 244-9498,,,http://www.flooranddecor.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/floor-decor-riverdale-5831,,,,Floor Coverings,,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Bedrock Quartz,,,,5996 W. Dannon Way,,UT,84081,,(377) 385-8996,,,http://www.bedrockquartz.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/bedrock-quartz-west-jordan-2616,,,,Countertops (Granite & Marble),,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
"Lambert Hardwood Flooring, Inc",,,,"Lambert Hardwood Flooring, Inc.",,UT,84403,,(801) 621-0005,,,http://www.lamberthardwoodflooring.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/lambert-hardwood-flooring-inc-5801,,,,Floor Coverings (Hardwood),,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Horizon Development Enterprises,,,,1466 North Hwy 89,,UT,84025,,(801) 809-4210,,,http://www.horizonutah.net,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/horizon-development-enterprises-5850,,,,Development (Land),,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Layton City,,,,437 N Wasatch Dr,,Utah,84041,,(801) 336-3769,,,http://www.laytoncity.org,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/layton-city-layton-5824,,,,Government Agencies,,nwhba,,,,,,,,,2022-12-06 11:15:27,The easy way to find businesses and members in the Northern Wasatch HBA
Hall Construction Co.,,,,2704 W. 1575 N.,,UT,84404,,(801) 917-7468,,,http://www.hall-construction.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/hall-construction-co-5713,,,,General Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
Gray Graphics,,,,2510 N 1600 E,,UT,84414,,(801) 814-2331,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/gray-graphics-735,,,,Illustrations - Architectural,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
Havenwood Homes,,,,P.O. Box 826,,UT,84025,,(801) 599-9053,,,http://www.buildmyhaven.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/havenwood-homes-farmington-509,,,,Land Developer,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
My2ndHome,,,,1235 Fairmont Lane,,UT,84041,,(801) 589-1379,,,http://www.my2ndhomevacay.com,http://My 2nd Home Vacation Rentals,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/my2ndhome-5882,,,,Management/Property,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
"GS Jones Construction, Inc.",,,,PO Box 1502,,UT,84011,,(801) 694-1966,,,http://www.gs-jones.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/gs-jones-construction-inc-bountiful-2379,,,,Remodelers,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
Janke Construction LLC,,,,1907 West Ranch Rd,,UT,84025,,(801) 809-7409,,,http://jankehomes.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/janke-construction-llc-3685,,,,Remodelers,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
GoliathTech Utah,,,,3400 N 1000 W,,UT,84414,,8018395283,,,http://goliathtechut.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/goliathtech-utah-5733,,,,Foundations/Footings/Support Systems,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
J.M. Thomas Forest Products,,,,2525 N Hwy 89,,UT,84404,,(801) 391-1636,,,http://www.thomasforest.com,https://www.linkedin.com/company/888035/admin/,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/j-m-thomas-forest-products-5890,,,,Building Materials & Product Supplies,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
"Jim Puffer Landscape, Inc.",,,,"860 West 300 North, Ste 200",,UT,84037,,(801) 547-9988,,,http://www.jimpufferlandscape.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/jim-puffer-landscape-inc-kaysville-1935,,,,Landscape Architect,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
Z Stewart Group Inc.,,,,1594 W. 2350 So.,,UT,84087,,(801) 598-2392,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/z-stewart-group-inc-5957,,,,General Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
JM Plastering & Service,,,,4587 S 4875 W,,UT,84401,,(801) 644-9938,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/jm-plastering-service-west-haven-2101,,,,Plastering,,nwhba,,,,,,,,,2022-12-06 11:15:28,The easy way to find businesses and members in the Northern Wasatch HBA
"John Watson Chevrolet, Inc.",,,,3535 Wall Avenue,,UT,84401,,(801) 394-2611,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/john-watson-chevrolet-inc-2325,,,,Automotive Sales/Repair,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
"Jeff Adams Design, LLC",,,,"11629 S 700 E, Ste #150",,UT,84020,,(801) 916-4925,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/jeff-adams-design-llc-5952,,,,Architectural Services,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
"Jack B. Parson Companies, Ogden",,,,2350 S. 1900 W. Ste. 100,,UT,84401,,(801) 731-1111,,,http://www.jbparson.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/jack-b-parson-companies-ogden-ogden-791,,,,Asphalt & Paving Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
J&K Insulation,,,,3147 N. Hwy. 89,,UT,84404,,(801) 782-7396,,,https://jkinsulation.business.site/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/j-k-insulation-2531,,,,Asbestos Removal/Abatement,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Zions Bank,,,,5635 S. Harrison Boulevard,,UT,84403,,(801) 476-7642,,,http://www.zionsbank.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/zions-bank-5833,,,,,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Zamp HR Insurance,,,,898 N 1200 W,,UT,84057,,(801) 377-1190,,,http://zamphr.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/zamp-hr-insurance-5901,,,,Insurance Services,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Zions Bank,,,,5635 S. Harrison Boulevard,,UT,84403,,(801) 476-7641,,,http://www.zionsbank.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/zions-bank-south-ogden-94,,,,Banks,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Goldenwest Credit Union,,,,5025 Adams Ave,,UT,84403,,(801) 621-4550,,,https://www.gwcu.org/locations/branches/corporate-branch-ogden-utah,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/goldenwest-credit-union-733,,,,Mortgages/Construction Loans/Financing,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Goldenwest Credit Union,,,,315 North Marketplace Drive,,UT,84014,,(801) 337-8314,,,http://www.gwcu.org,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/goldenwest-credit-union-centerville-5914,,,,,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Giant Carpet One,,,,800 W Riverdale Rd.,,UT,84405,,(801) 425-2622,,,https://www.giantcarpetone.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/giant-carpet-one-1260,,,,Floor Coverings,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Zonda Intelligence,,,,"9069 S 1300 W, Ste B",,UT,84088,,(801) 571-7700 x424,,,http://www.zondahome.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/zonda-intelligence-62,,,,Consultants,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Grove Collective,,,,12896 Pony Express Drive,,UT,84020,,(801) 661-7985,,,http://grovecollective.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/grove-collective-5928,,,,Furniture,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Goldenwest Credit Union,,,,1268 N Hillfield Rd,,Utah,84041,,(801) 786-8020,,,http://www.gwcu.org,http://linkedin.com/in/taylor-mcdonald,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/goldenwest-credit-union-layton-5916,,,,Mortgages/Construction Loans/Financing,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
Green Custom Homes LLC,,,,638 S. 275 W.,,UT,84041,,(801) 771-0991,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/green-custom-homes-llc-2621,,,,General Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:29,The easy way to find businesses and members in the Northern Wasatch HBA
"Great Basin Engineering, Inc.",,,,"5746 S 1475 E, STE 200",,UT,84403,,(801) 394-4515,,,https://www.greatbasinengineering.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/great-basin-engineering-inc-736,,,,Architectural Services,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
"GGG Interior Renovations, LLC.",,,,3035 Scott Lane,,Utah,84401,,(801) 668-2316,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/ggg-interior-renovations-llc-5810,,,,Carpenters (Finish),,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Harristone & Merrillstone,,,,2810 Pennsylvania Ave.,,UT,84401,,(801) 621-1380,,,http://www.harristone.com,https://www.facebook.com/harristonestoneveneer/,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/harristone-merrillstone-888,,,,Stone Masonry,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Hearth and Home Distributors of Utah,,,,3380 South 1325 West St.,,UT,84401,,(801) 621-3921,,,http://www.hhdu.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/hearth-and-home-distributors-of-utah-2587,,,,Fireplaces & Stoves,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
"Guy's Glass, Inc.",,,,"1740 S 300 W, Ste 6",,UT,84015,,(801) 825-4968,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/guy-s-glass-inc-739,,,,Glass Suppliers,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Grnobl Land Co.,,,,181 South 750 West,,UT,84054,,(801) 870-4483,,,http://www.grnobl.com,https://www.linkedin.com/company/grnobl-co/about,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/grnobl-land-co-5927,,,,Development (Land),,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Habitat for Humanity of Weber & Davis Counties,,,,3111 Wall Ave,,UT,84401,,(814) 470-1278,,,http://habitatwd.org,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/habitat-for-humanity-of-weber-davis-counties-5896,,,,Building Materials & Product Supplies,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Garn Development (CPM Group),,,,748 W Heritage Park Blvd,,UT,84041,,(801) 776-0232,,,https://garndev.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/garn-development-cpm-group-5879,,,,Development (Land),,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Honey Bucket,,,,4267 W 850 S.,,UT,84104,,(801) 330-7219,,,http://www.honeybucket.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/honey-bucket-1040,,,,Portable Storage Units,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
"H & J Drywall Construction, LLC.",,,,560 North Washington Blvd.,,UT,84404,,(801) 600-2001,,,http://www.hjdrywallconstruction.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/h-j-drywall-construction-llc-ogden-5855,,,,Drywall Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Goldenwest Credit Union,,,,2085 Orchard Drive,,UT,84010,,(801) 786-8133,,,http://www.gwcu.org,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/goldenwest-credit-union-bountiful-5915,,,,,,nwhba,,,,,,,,,2022-12-06 11:15:30,The easy way to find businesses and members in the Northern Wasatch HBA
Havenhill Homes,,,,96 North 500 West suite 280,,UT,84010,,(801) 803-3371,,,http://www.havenhillhomes.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/havenhill-homes-311,,,,Contractors Register,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Farmington City,,,,160 So. Main,,UT,84025,,(801) 939-9219,,,http://www.farmington.utah.gov,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/farmington-city-537,,,,Building Permits,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Harrop Homes,,,,632 N 200 W,,UT,84340-0000,,(801) 603-4380,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/harrop-homes-343,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Fairway Independent Mortgage Company,,,,5711 S 1475 E,,UT,84403,,(801) 917-3759,,,https://www.fairwayindependentmc.com/,https://www.facebook.com/FairwayMortgage/,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/fairway-independent-mortgage-company-4707,,,,Mortgages/Construction Loans/Financing,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
"Henry Walker Construction of Northern Utah, LLC",,,,1148 W. Legacy Crossing Blvd,,UT,84014,,(801) 335-8500,,,http://www.henrywalkerhomes.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/henry-walker-construction-of-northern-utah-llc-2608,,,,Single Family Builder (Spec),,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Fringe Benefit Analysts,,,,393 West Gordon Avenue,,UT,84041,,(801) 564-6004,,,http://www.fbabenefits.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/fringe-benefit-analysts-layton-5848,,,,Insurance Services,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Heritage Craft Homes,,,,2414 North 4350 West,,UT,84404,,(801) 458-4868,,,http://HeritageCraftHomes.com,http://www.facebook.com/Heritage Craft Homes,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/heritage-craft-homes-3687,,,,General Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Foresight Lighting & Design,,,,1565 W Hillfield Rd Ste 103,,UT,84041,,(801) 721-7942,,,http://www.foresightlight.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/foresight-lighting-design-360,,,,Lighting Design,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
First Community Bank,,,,1601 N Hill Field RD,,UT,84041,,(801) 813-1853,,,https://www.fcbutah.com/personal/borrowing/mortgage-loans,https://www.linkedin.com/company/firstcommunitybankutah,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/first-community-bank-5875,,,,Banks,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Farr Built Homes,,,,3605 w 900 s,,UT,84404,,8019413790,,,http://farrbuilthomes.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/farr-built-homes-3686,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Fringe Benefit Analysts,,,,393 West Gordon Ave,,UT,84041,,801.546.6004,,,http://www.FBAbenefits.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/fringe-benefit-analysts-2623,,,,Insurance Services,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
K Bell Fire Sprinkler Protection LLC,,,,1676 W. 2100 S,,Utah,84401,,801-731-6886,,,http://kbellfire.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/k-bell-fire-sprinkler-protection-llc-3684,,,,Fire Sprinklers,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
KH Design House Plans,,,,995 S State St. # A,,UT,84015,,(801) 774-5913,,,http://www.zhouseplans.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kh-design-house-plans-clearfield-755,,,,Architectural Services,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
Kustom House Plans,,,,120 W. 4100 N.,,UT,84414,,(801) 786-0849,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kustom-house-plans-pleasant-view-960,,,,Architectural Services,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
"KLM Woodworks, LLC.",,,,1501 West 2650 South #106,,UT,84401,,(801) 389-3650,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/klm-woodworks-llc-3674,,,,Finish Carpentry/Trim,,nwhba,,,,,,,,,2022-12-06 11:15:31,The easy way to find businesses and members in the Northern Wasatch HBA
First Community Bank,,,,1840 Skyline Dr,,UT,84403,,(801) 824-9627,,,http://fcbutah.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/first-community-bank-south-ogden-5947,,,,Banks,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Kapp U Cart,,,,1548 west 3425 south,,UT,84401,,(801) 393-7360,,,http://Www.kappcompanies.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kapp-u-cart-4700,,,,Concrete & Ready Mix Suppliers,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Kendall Insulation,,,,1130 E 3350 N,,UT,84414,,(801) 698-4500,,,https://www.kendallinsulation.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kendall-insulation-north-ogden-866,,,,Insulation Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
"Kephart Electric, Inc",,,,3343 North Blue Sage Road,,UT,84050,,(801) 920-3162,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kephart-electric-inc-3667,,,,Electrical Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Kier Property Management & Real Estate LLC,,,,1012 Chambers St.,,UT,84403,,(801) 621-3390,,,https://www.kiermanagement.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kier-property-management-real-estate-llc-444,,,,Management/Property,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
King Investments,,,,55 East 400 South,,UT,84014,,(801) 298-3413,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/king-investments-617,,,,Landscaping Design & Services,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Kay Riley & Sons,,,,96 N 500 W,,UT,84010,,(801) 295-0434,,,https://www.kayriley.com/about,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kay-riley-sons-554,,,,Floor Coverings,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Lennar Homes,,,,111 E Sego Lily Drive,,UT,84070,,(801) 960-2751,,,http://www.Lennar.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/lennar-homes-5893,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Kruitbosch Painting Inc.,,,,215 E. 700 S. Ste#8,,UT,84015,,(801) 941-9319,,,http://www.kruitboschpainting.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/kruitbosch-painting-inc-2549,,,,Paint/Painting/Wallpaper,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
L.K.L. Associates,,,,2380 S 1900 W Building D,,UT,84401,,(801) 499-5220,,,http://lklassociates.com,http://facebook.com/pages/lklassoc,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/l-k-l-associates-5911,,,,Building Materials & Product Supplies,,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
"Landscope, LLC",,,,7135 South Highland Drive,,UT,84121,,801-560-8593,,,http://villageattheshorescedaredition.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/landscope-llc-2630,,,,Development (Land),,nwhba,,,,,,,,,2022-12-06 11:15:32,The easy way to find businesses and members in the Northern Wasatch HBA
Knowlton General,,,,"70 North Main Street, Suite 106",,UT,84010,,(801) 828-0756,,,http://www.knowltongeneral.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/knowlton-general-3645,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
LIFE SPECIALTY COATINGS,,,,12927 Sunshine Ave.,,CA,90670,,(562) 944-6391/(714)448-8292 Utah Tech/Sales assistance,,,http://lifespecialtycoatings.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/life-specialty-coatings-5954,,,,Deck & Concrete Technical Coatings/Waterproofing,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
Lifetime Roofing,,,,890 West Center ST. Suite 5,,Ut,84054,,801-928-8881,,,https://lifetimeroofing.com/,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/lifetime-roofing-3666,,,,Roofing Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
Lync Construction,,,,1407 N Mountain Rd.,,UT,84404,,(801) 710-2234,,,http://www.lyncconstruction.com,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/lync-construction-5832,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
Live Wire Electric Inc.,,,,2506 South 2050 West,,Utah,84401,,(801) 732-1533,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/live-wire-electric-inc-5727,,,,Electrical Contractors,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
Northern Lighting Company,,,,575 W Antelope Dr,,UT,84075,,(801) 628-2480,,,http://www.northernlightingco.com,http://www.facebook.com/Northernlightingcompany,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/northern-lighting-company-5853,,,,Lighting Control & Automation,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
Lewis Homes Inc,,,,3718 N. Wolf Creek Dr.,,UT,84310,,(801) 745-3737,,,,,Business,,,,https://www.nwhba.net/members,https://www.nwhba.net/members/member/lewis-homes-inc-5860,,,,Builders,,nwhba,,,,,,,,,2022-12-06 11:15:33,The easy way to find businesses and members in the Northern Wasatch HBA
