Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
"Arizona Generator Technology, Inc. dba GEN-TECH",,,,7901 N. 70th Ave.,,AZ,85303,,(623) 937-1719,,,https://phoenixchamber.com/,"https://www.facebook.com/AzGenTech/, https://twitter.com/GenTechUSA",Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/gen-tech-glendale-4696,,,,Machinery and Equipment Repair and Maintenance,,phoenixchamber,,,,,,,,,2022-12-05 11:19:35,The easy way to find businesses and members in the Greater Phoenix Chamber
ASU Morrison Institute for Public Policy,,,,"411 N. Central Ave., Suite 900",,AZ,85004-0692,,,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/asu-morrison-institute-for-public-policy-87470,,,,"Colleges, Universities, and Professional Schools",,phoenixchamber,,,,,,,,,2022-12-05 11:19:35,The easy way to find businesses and members in the Greater Phoenix Chamber
Arizona Studios,,,,4614 E. McDowell Rd.,,AZ,85008,,(602) 275-9100,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/arizona-studios-88472,,,,Video Production,,phoenixchamber,,,,,,,,,2022-12-05 11:19:35,The easy way to find businesses and members in the Greater Phoenix Chamber
Foothills Fire Protection,,,,"7435 E. Karen Drive, Suite 1",,AZ,85260,,(480) 951-3434,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/foothills-fire-protection-83968,,,,,,phoenixchamber,,,,,,,,,2022-12-05 11:19:35,The easy way to find businesses and members in the Greater Phoenix Chamber
Flagstaff Family YMCA,,,,1001 N. Turquoise Rd.,,AZ,86001,,(928) 556-9622,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/flagstaff-family-ymca-flagstaff-12298,,,,Individual and Family Services,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Environment Control,,,,2802 W. Northern Ave.,,AZ,85051,,(602) 864-1825,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/environment-control-phoenix-33974,,,,Janitorial Services,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
EXP- KP Elite,,,,14050 N. 83rd Avenue,,AZ,85381,,(661) 373-5357,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/exp-kp-elite-88898,,,,Real Estate,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Quick Quack Car Wash - Downtown Phoenix,,,,1615 N. 21st Place,,AZ,85006,,,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/quick-quack-car-wash-downtown-phoenix-89254,,,,,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Ross Farnsworth - East Valley YMCA,,,,1807 S. Sunview,,AZ,85206,,(480) 649-9622,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/ross-farnsworth-east-valley-ymca-mesa-75874,,,,Non - Profit Organizations - Recreation/Youth Programs,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Roof Rite,,,,PO Box 21772,,AZ,85277,,(480) 710-9381,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/roof-rite-mesa-79030,,,,Construction,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Rustler’s Rooste at Arizona Grand Resort & Spa,,,,8383 S. 48th St.,,AZ,85044,,(602) 431-6474,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/rustler-s-rooste-at-arizona-grand-resort-spa-82473,,,,Restaurants,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
"Ricor, Inc.",,,,3749 E. Superior Ave.,,AZ,85040,,(602) 437-0202,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/ricor-inc-phoenix-1999,,,,"Highway, Street, and Bridge Construction",,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Transform 42 Inc,,,,459 S Burk St,,AZ,85296,,(240) 529-8002,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/transform-42-inc-89292,,,,Consulting Services,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
Thunderbird School of Global Management,,,,"400 E. Van Buren St., Suite 900",,AZ,85004,,(602) 496-7000,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/thunderbird-school-of-global-management-1023,,,,"Colleges, Universities, and Professional Schools",,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
The Legacy Golf Course,,,,6808 S. 32nd St.,,AZ,85042,,(602) 305-5550,,,https://phoenixchamber.com/,,Business,,,,https://business.phoenixchamber.com/list,https://business.phoenixchamber.com/list/member/the-legacy-golf-course-82374,,,,Golf Courses and Country Clubs,,phoenixchamber,,,,,,,,,2022-12-05 11:19:36,The easy way to find businesses and members in the Greater Phoenix Chamber
