Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Ghostbusters Tanning & More,,,,157 3rd St,,KY,41501,,(606) 432-5689,,,,https://www.facebook.com/GhostbustersTanning/?fref=ts,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/ghostbusters-tanning-more-3587,,,,Tanning Salon,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
JGreat Entertainment,,,,526 Oak Avenue,,VA,24273,,757-567-2723,,,http://www.jgreatent.com,https://www.facebook.com/jgreatent/,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/jgreat-entertainment-5185,,,,Entertainment-DJ,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
"American Metal Works, LLC",,,,1539 Stone Coal Road,,KY,41501,,(606) 432-6963,,,http://www.amwus.com,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/american-metal-works-llc-5084,,,,Manufacturing,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
Pike County Tourism CVB,,,,831 Hambley Blvd,,KY,41501,,(606) 432-5063,,,http://www.tourpikecounty.com,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/pike-county-tourism-cvb-347,,,,Tourism,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
Paintsville Tourism Commission,Jerry Daniels,Jerry,Daniels,120 Stave Branch,,KY,41256,,(606) 297-1469,,,http://www.visitpaintsvilleky.com,"https://www.facebook.com/Paintsvilleadventures/?fref=ts, http://twitter.com/@tourpainstville",Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/paintsville-tourism-commission-3082,,,,Tourism,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
Landmark Hotel,Debbie Lawson,Debbie,Lawson,190 S Mayo Trl,,KY,41501,,(606) 432-2545,,,https://www.landmarkpikeville.com/?fbclid=IwAR37WBrNmfW66ykvhLOA2-Ao4qTp-GmAlFKpg2G9u3j8KxvqJhE_74Vza_g,https://www.facebook.com/pages/Landmark-Inn-Restaraunt/206780899359434?fref=t,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/landmark-hotel-281,,,,Restaurant,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
Inter Mountain Cable,,,,20 Lanyesville rd,,KY,41635,,(800) 635-7052,,,,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/inter-mountain-cable-1453,,,,Cable & Satellite Television,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
"Interstate Lodging, Inc.",Craig  Preece,Craig,Preece,81 ENTERPRISE DRIVE,,KY,41653,,(606) 395-6825,,,,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/interstate-lodging-inc-5363,,,,"Hotels, Motels, Inns",,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
Fleming Neon Water Co.,,,,955 State Hwy 317,,Ky,41840,,(606) 855-7916,,,,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/fleming-neon-water-co-4717,,,,Utilities,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
State Electric & Supply Company,,,,122 Johnson St,,KY,41501,,(606) 432-3163,,,http://www.stateelectric.com,,Business,,,,https://business.sekchamber.com/list,https://business.sekchamber.com/list/member/state-electric-supply-company-387,,,,Electric Supplies/Equipment,,sekchamber,,,,,,,,,2022-12-08 11:06:41,The easy way to find businesses and members in the Southeast Kentucky Chamber of Commerce
