Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Arva Industries Inc.,Shawn Seers,Shawn,Seers,43 Gaylord Road,,ON,N5P 3R9,,(519) 637-1855,,,http://www.arvaindustries.com,,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/arva-industries-inc-78792,,,,Manufacturers,,stthomaschamber,,,,,,,,,2022-11-30 15:53:58,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Bluffs Golf Club (The),Murray Leeson,Murray,Leeson,35593 Lake Line,,ON,N5L 1J1,,(519) 782-7447,,,http://www.thebluffsgolfclub.com,https://www.facebook.com/The-Bluffs-Golf-Club-190255694349628/,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/bluffs-golf-club-the-87376,,,,Golf Courses & Instructors,,stthomaschamber,,,,,,,,,2022-11-30 15:53:58,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Oxford Learning St. Thomas,Jennifer Weldrick,Jennifer,Weldrick,460 Wellington Street,,ON,N5R 6H9,,(226) 210-0609,,,http://www.oxfordlearning.com,"https://www.facebook.com/OxfordLearning, https://twitter.com/oxfordlearning, https://www.instagram.com/oxfordlearning_st.thomas/",Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/oxford-learning-st-thomas-91540,,,,Education,,stthomaschamber,,,,,,,,,2022-11-30 15:53:58,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Our Place Respite Inc.,Julia Margetts,Julia,Margetts,271 Elm Street,,ON,N5R 5C5,,(226) 268-0381,,,https://www.ourplacerespite.com/,https://www.facebook.com/2018ourplacerespireinc/,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/our-place-respite-inc-91744,,,,Agencies & Associations,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
North America Railway Hall Of Fame,Larry Longfield,Larry,Longfield,750 Talbot Street,,ON,N5P 1E2,,(519) 633-2535,,,http://casostation.ca,"https://www.facebook.com/pages/North-America-Railway-Hall-of-Fame/115216215183389, http://twitter.com/twitter.com/casostation",Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/north-america-railway-hall-of-fame-79156,,,,Museums,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Oegema Turkey Farms Inc.,Annie Oegema,Annie,Oegema,10882 Sunset Road,,ON,N5P 3T2,,(519) 633-0527,,,http://www.turkeyshoppe.com,https://www.facebook.com/Oegemas-Turkey-Shoppe-374334229264123/,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/oegema-turkey-farms-inc-476,,,,Food - Wholesalers,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Natural Health Therapy Centre - Registered Massage Therapists,Karen White,Karen,White,18 Metcalfe Street,,ON,N5R 3J9,,(519) 633-0888,,,http://www.massagetherapystthomas.ca,,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/natural-health-therapy-centre-registered-massage-therapists-461,,,,Massage Therapy,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
First Student,Kevin Murray,Kevin,Murray,74 Gaylord Road,,ON,N5P 3S2,,(519) 633-2971,,,http://www.firststudentinc.com,"https://www.linkedin.com/company/first-student/, https://www.facebook.com/FirstStudent, https://twitter.com/FirstStudentInc, https://www.instagram.com/firststudentinc/",Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/first-student-91656,,,,Bus Charters & Rentals,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Familifood Club - Dean Kitts,Dean Kitts,Dean,Kitts,41941 Sparta Line,,ON,N0L 2L0,,(519) 637-8539,,,http://www.familifood.com,,Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/familifood-club-dean-kitts-79607,,,,Food Specialties,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
Flynn Canada Ltd.,Stephen Patti,Stephen,Patti,550 Sovereign Road,,Ontario,N5V4K5,,(519) 681-0200,,,https://flynncompanies.com/,"https://www.linkedin.com/company/143720/, https://www.facebook.com/FlynnCompanies/",Business,,,,https://www.stthomaschamber.on.ca/list,https://www.stthomaschamber.on.ca/list/member/flynn-canada-ltd-88472,,,,Roofing Contractors,,stthomaschamber,,,,,,,,,2022-11-30 15:53:59,The easy way to find businesses and members in the St. Thomas & District Chamber of Commerce - ON
