Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Lewis Smith,,,,2079 White Oak Road,,GA,30824,,,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/lewis-smith-17621,,,,,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Knox LTD,,,,3133 Washington Road,,GA,30824,,(706) 595-1907,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/knox-ltd-16078,,,,Community Organizations,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Knox & Swan Attorneys,,,,114 Knox Shopping Center,,GA,30824,,(706) 595-1841,,,,https://www.facebook.com/pages/Knox-Swan-Attorney/371645616191855,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/knox-swan-attorneys-15227,,,,Attorneys,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Kingdom Web Pros,,,,1112 Old Washington Road,,GA,30824,,(762) 250-4570,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/kingdom-web-pros-17802,,,,Marketing,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
"Kent's Drive-In, INC.",,,,329 E. Hill Street,,GA,30824,,(706) 595-2663,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/kent-s-drive-in-inc-17435,,,,Restaurants,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
"Kelley Business Printers, Inc.",Sean Kelley,Sean,Kelley,287 North Main Street,,GA,30808,,(706) 556-1933,,,,https://www.facebook.com/KelleyBusinessPrinters/,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/kelley-business-printers-inc-15424,,,,Printing & Typesetting Services,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Country Financial - La'Shanta Barrow Agency,,,,229 Greenway Street,,GA,30824,,(706) 595-3882,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/country-financial-la-shanta-barrow-agency-17816,,,,,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Kays Cut & Style,Sean Kelley,Sean,Kelley,308 Main St.,,GA,30824,,(706) 595-8826,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/kays-cut-style-17711,,,,Beauty Salons/Barber Shops/Spas,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
"Katerwerks Events and Hospitality, LLC",Sean Kelley,Sean,Kelley,777 Johns Creek,,GA,30809,,(762) 585-1408,,,http://www.katerwerks.com,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/katerwerks-events-and-hospitality-llc-17593,,,,,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
Brother Sprinkles Landscaping,,,,2371 Union Church Rd.,,GA,30824,,(904) 477-2328,,,,,Business,,,,https://www.thomsonmcduffiechamber.com/list,https://www.thomsonmcduffiechamber.com/list/member/brother-sprinkles-landscaping-17685,,,,Landscaping,,thomsonmcduffiechamber,,,,,,,,,2022-12-06 10:50:57,The easy way to find businesses and members in the Thomson-McDuffie Chamber of Commerce
