Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Anderson Contracting & Rehab,,,,4786 Hancock Drive,,TN,38116,,901-859-0991,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/anderson-contracting-rehab-9524,,,,Remodeling/Renovations & Additions,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
"Cosentino (Silestone, Dekton, & Sensa)",Stacy Briske,Stacy,Briske,1421 Gould Blvd,,TN,37086,,615-454-0991,,,http://www.cosentino.com,"https://www.facebook.com/CosentinoUSA/, https://www.instagram.com/cosentinousa/?hl=en",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/cosentino-silestone-dekton-sensa-8329,,,,Brick & Stone,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
Audio Video Artistry,Brad Parsley,Brad,Parsley,7750 Trinity Road,,TN,38018,,901-373-2444,,,http://www.avartistry.com,"https://www.facebook.com/AVArtistry/, https://twitter.com/audioartist, https://www.instagram.com/audiovideoartistry/, https://www.youtube.com/channel/UCnZq2zgva-oikl1l5jFuYKA?view_as=subscriber",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/audio-video-artistry-cordova-99,,,,Audio/Visual Systems,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
D & H Designs,David Salazar,David,Salazar,1815 Florida St,,TN,38109,,901-305-6686,,,http://www.dhdesignsinc.org,"https://www.facebook.com/dhdesignsinc/, https://www.instagram.com/dh_designs_memphis/",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/d-h-designs-8270,,,,Brick & Stone,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
"Haven Insurance Partners, LLC",,,,101 N Highland,,TN,38301,,731-577-4300,,,http://Www.thehavenip.com,https://www.facebook.com/Haven-Insurance-Partners-103944654459082,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/haven-insurance-partners-llc-jackson-9016,,,,Insurance,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
DeSoto Floor Covering & Interiors,David Salazar,David,Salazar,10886 DeSoto Rd,,MS,38654,,662-408-4660,,,http://www.desotofloors.com,"https://mobilo.link/v1/linkedInUrl/f47a0d06?userId=KlvHWiKFPAOL3DtgGIuVsxIdzs13, https://mobilo.link/v1/facebookUrl/b5ce6fe7, https://mobilo.link/v1/twitter/485ba5c8, https://mobilo.link/v1/instagramUrl/7030ce9d, https://mobilo.link/v1/youtubeUrl/df30aa55",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/desoto-floor-covering-interiors-9529,,,,Flooring,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
Hallmark Builders,Harry Todtman,Harry,Todtman,8620 Trinity Rd Ste 202,,TN,38018,,901-753-3950,,,http://www.hallmarkbuildersinc.net,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/hallmark-builders-cordova-563,,,,Speculative Home Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:14,The easy way to find businesses and members in the West Tennessee HBA
Patriot Bank,Keith Barger,Keith,Barger,Patriot Bank Mortgage Corporate Office,,TN,38053,,901-872-8517,,,http://www.patriot-bank.com,"https://www.linkedin.com/company/patriotbank, https://www.facebook.com/PatriotBank/?__tn__=%2Cd%2CP-R&eid=ARDl4P63yj-UzMJ3UeUV7V9g4j_d-oXBaWEWNK32ylzg0M-LVrpl707FVbYXuQifwS6ShAjJMsqUm3pg",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/patriot-bank-barretville-926,,,,Banks,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:15,The easy way to find businesses and members in the West Tennessee HBA
Steve Orians Construction,Steve Orians,Steve,Orians,342 Walnut Trace Dr,,TN,38018-6806,,901-301-2871,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/steve-orians-construction-cordova-1174,,,,Custom Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:15,The easy way to find businesses and members in the West Tennessee HBA
Brewer's Pool & Landscaping,Brian Brewer,Brian,Brewer,6620 Summer Ave,,TN,38134,,901-377-3059,,,http://www.brewerspool.com,"https://www.facebook.com/brewerspoolmemphis, https://www.houzz.com/professionals/swimming-pool-builders/brewer-s-pool-and-landscaping-co-pfvwus-pf~1166574941?",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/brewer-s-pool-landscaping-memphis-182,,,,Landscape Design,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:15,The easy way to find businesses and members in the West Tennessee HBA
Nick Robbins Co,,,,397 Poplar Ave,,TN,38017,,901-359-9062,,,https://nickrobbinsco.com/,"https://www.linkedin.com/in/nick-robbins-62881567/, https://business.facebook.com/nickrobbinsco/?business_id=10152592499697447, https://www.instagram.com/nickrobbinsco/",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/nick-robbins-co-collierville-8939,,,,General Contractors,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:15,The easy way to find businesses and members in the West Tennessee HBA
Neel Fitzgerald & Co.,Frank Fitzgerald,Frank,Fitzgerald,140 E. Mulberry St.,,TN,38017,,901-853-4770,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/neel-fitzgerald-co-888,,,,Developers,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Next Day Access,Greg Inman,Greg,Inman,2979 Kate Bond Road,,TN,38133,,901-881-6769,,,http://www.nextdayaccess.com,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/next-day-access-bartlett-60,,,,Accessibility Products,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Nobles & Olson Construction,Matt Olson,Matt,Olson,9468 Dogwood Estates Dr,,TN,38139-5606,,901-754-8891,,,http://www.noblesolson.com,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/nobles-olson-construction-germantown-890,,,,Custom Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Noah Painting,Billy Noah,Billy,Noah,320 Eagle Valley Dr,,TN,38060,,(901) 301-2083,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/noah-painting-oakland-889,,,,Painting Subcontractors,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Darin K Halford Builder - Reid Halford,David Salazar,David,Salazar,PO Box 38776,,TN,38183,,901-282-6784,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/darin-k-halford-builder-reid-halford-9544,,,,Custom Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Zanone Builders,Paul Zanone,Paul,Zanone,4435 Chickasaw,,TN,38117,,901-230-8726,,,http://www.zanonebuilders.com/,"https://www.facebook.com/zanonebuilders/, https://www.houzz.com/professionals/home-builders/zanone-builders-pfvwus-pf~1736639188, https://www.instagram.com/zanonebuilders/?hl=en",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/zanone-builders-memphis-6162,,,,Custom Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Fabric by the Square,,,,747 W Poplar Avenue,,TN,38017,,901-853-7130,,,,"https://www.facebook.com/fabricbythesquare, https://www.instagram.com/fabricbythesquare/?hl=en",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/fabric-by-the-square-collierville-8874,,,,Furniture,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Neal Home Builders,Jimmy Neal,Jimmy,Neal,2254 Kirby Parkway,,TN,38119,,901-553-8149,,,,https://www.facebook.com/Neal-Home-Builders-342390926317302/,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/neal-home-builders-memphis-8287,,,,Custom Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
Dyke Industries - Curtis Loynachan,David Salazar,David,Salazar,4038 E Raines Rd,,TN,38118,,901-362-6260,,,,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/dyke-industries-curtis-loynachan-8807,,,,Building Materials,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:16,The easy way to find businesses and members in the West Tennessee HBA
OfferPorch Homes LLC,,,,676 Clinton Pl,,TN,38126,,901-472-4006,,,http://www.offerporch.com,"https://www.facebook.com/offerporch, https://twitter.com/offerporch, https://www.instagram.com/offerporch/",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/offerporch-homes-llc-9526,,,,Speculative Home Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
Oak Run Homes,Adam Sklar,Adam,Sklar,1374 Cordova Cv,,TN,38138,,901-603-3776,,,http://www.oakruntn.com,,Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/oak-run-homes-germantown-8331,,,,Speculative Home Builders,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
Bryan Realty Group,Brian Brewer,Brian,Brewer,1850 Poplar Crest Cove,,TN,38119,,901-849-5185,,,http://bryanrealty.com,"https://www.linkedin.com/in/michael-bryan-1abb7357/, https://www.facebook.com/BryanRealtyGroup, https://twitter.com/bryan_rlty_grp, https://www.instagram.com/bryanrealtymemphis/, https://www.yelp.com/biz/michael-bryan-bryan-realty-group-memphis",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/bryan-realty-group-9579,,,,Real Estate Specialist,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
Olshan Foundation Repair & Waterproofing,Jody Arnold,Jody,Arnold,3464 Jackson Ave,,TN,38122,,901-684-1933,,,http://www.olshanfoundation.com,"https://www.facebook.com/olshanfoundationrepairmemphis/, https://twitter.com/olshansince1933, https://www.instagram.com/olshanfoundationsolutions/?fbclid=IwAR1BBKpqBGUh9QVurqgXn6vJvAK8upO2BrXW8lZ_e1pmmaR0hHx_mIilRyY, https://www.youtube.com/user/OlshanSince1933",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/olshan-foundation-repair-waterproofing-2334,,,,Foundation Repair,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
Paragon Bank,Stephen Maury,Stephen,Maury,5400 Poplar Ave,,TN,38119,,901-322-0631,,,http://www.bankparagon.com,"https://www.linkedin.com/company/paragon-national-bank/, https://www.facebook.com/ParagonBank/, https://twitter.com/bankparagon, https://www.instagram.com/bankparagon/",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/paragon-bank-memphis-901-322-0631-919,,,,Banks,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
One Call Restoration LLC,Jody Arnold,Jody,Arnold,375 Medina Hwy,,TN,38358,,731-358-7419,,,http://www.1callrestoration.net,"https://www.facebook.com/1callrestoration/, https://twitter.com/1CallRestore, https://www.instagram.com/one_call_restoration/",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/one-call-restoration-llc-9532,,,,Remodeling/Renovations & Additions,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
Newtco LLC,Jimmy Neal,Jimmy,Neal,11900 mott street,,TN,38002,,901-826-6395,,,https://www.newtcoroofing.com/,"https://www.facebook.com/NewtcoRoofing/, https://twitter.com/NewtcoRoofing",Business,,,,https://builders.westtnhba.com/list/,https://builders.westtnhba.com/list/member/newtco-llc-arlington-9008,,,,Roofing Subcontractors,,builders.westtnhba,,,,,,,,,2022-12-03 11:09:17,The easy way to find businesses and members in the West Tennessee HBA
