Business Name,Full Name,First Name,Last Name,Street Address,Valid To,State,Zip,Description,Phone Number,Phone Number 1,Email,Business_Site,Social_Media,Record_Type,Category,Rating,Reviews,Source_URL,Detail_Url,Services,Latitude,Longitude,Occupation,Business_Type,Lead_Source,State_Abrv,State_TZ,State_Type,SIC_Sectors,SIC_Categories,SIC_Industries,NAICS_Code,Quick_Occupation,Scraped_date,Meta_Description
Our Daily Bread,,,,300 West Oak Street  Suite 100,,TX,76201,,(817) 673-1561,,,http://ourdailybreaddenton.org,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/our-daily-bread-12397,,,,Non-Profit,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:48,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Netchex,,,,5900 S Lake Forest Dr STE 370,,TX,75013,,(214) 780-7139,,,http://netchex.com,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/netchex-12383,,,,Payroll/Time Keeping,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:49,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
"Azar Pixel, LLC",,,,"2101 Midway Road, Suite 140",,Texas,75006,,(972) 880-2409,,,http://www.azarpixel.com,https://www.facebook.com/azarpixel,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/azar-pixel-llc-12173,,,,Signs,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:49,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Judge Barbara Gailey/Pct. #5,Barbara Gailey,Barbara,Gailey,209 N. 5th. Street,,TX,76266,,(940) 458-7933,,,http://www.dentoncounty.com/jps,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/judge-barbara-gailey-pct-5-sanger-2055,,,,Government Officials,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:49,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Journey to Dream Foundation,Samantha Sims,Samantha,Sims,1960 Archer Ave,,TX,75077,,(469) 470-2382,,,http://www.journeytodream.com,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/journey-to-dream-foundation-8731,,,,Non-Profit,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:49,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Joy Benefits LLC,,,,3245 MAIN ST,,TX,75034,,(214) 972-3436,,,https://chooseJoyBenefits.com,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/joy-benefits-llc-12410,,,,Insurance/Employee Benefits,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:49,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Oral & Facial Surgery of North Texas P.C.,Richard Martin,Richard,Martin,591 W. Main St. Ste 150,,TX,75057,,(972) 434-0050,,,http://www.ofsnt.com/,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/oral-facial-surgery-of-north-texas-p-c-2745,,,,"Dentists, Dental Care & Oral Surgeons",,lewisvillechamber,,,,,,,,,2022-12-12 13:08:50,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
Kwik Kar Vista Ridge,Ray Bowens,Ray,Bowens,2788 MacArthur Blvd.,,TX,75067,,(214) 488-7737,,,http://www.kwikkarvistaridge.com,,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/kwik-kar-vista-ridge-lewisville-3640,,,,"Automobile Parts, Repairs & Service",,lewisvillechamber,,,,,,,,,2022-12-12 13:08:51,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
CW Service Pros,Karen Edmonds,Karen,Edmonds,1890 Midway Rd.,,TX,75056,,(972) 845-8220,,,http://www.cwservicepros.com/,"https://www.facebook.com/CWServicePros.com, https://twitter.com/CWServicePros.com",Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/cw-service-pros-8455,,,,"Air Conditioning, Heating, Plumbing",,lewisvillechamber,,,,,,,,,2022-12-12 13:08:54,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
GEICO Flower Mound,,,,4630 Long Prairie Rd,,Texas,75028,,(469) 390-6500,,,http://geico.com/flowermound,http://www.geico.com/insurance-agents/texas/dallas-fort-worth/laura-ferring/,Business,,,,https://business.lewisvillechamber.org/list,https://business.lewisvillechamber.org/list/member/geico-flower-mound-12174,,,,Insurance - Property and Casualty,,lewisvillechamber,,,,,,,,,2022-12-12 13:08:54,The easy way to find businesses and members in the Lewisville Area Chamber of Commerce
